Species,Sample ID,Cell Density,Growth Rate,C,N,P,RNA,DNA,Protein,Total Chlorophylls,Total Carotenoids,Total Pigments,Carbohydrate,Total Lipid,Lipid - Pigment,Lipid P,Estimated Phospholipid,Estimate P Storage,RNA:C,DNA:C,Pro:C,Pigment:C,Carb:C,Lipid:C,RNA C fraction,DNA C fraction,Pro C fraction,Pigment C fraction,Carb C fraction,Lipid C fraction,RNA:N,DNA:N,Pro:N,Pigment:N,RNA N fraction,DNA N fraction,Pro N fraction,Pigment N fraction,RNA:P,DNA:P,Phospholipid:P,RNA P fraction,DNA P fraction,Phospholipid P fraction,Residual P fraction,C:N,C:P,N:P,MM C,MM N,MM P,MM C:N,%C Acc,%N Acc,%P Acc,Protein:RNA,RNA:DNA,Carb:Lipid
Thalassiosira weissflogii,160502_Tw_A,17212.5,0.484285019,140.0123006,27.78028212,4.956349787,8.978898262,2.284963647,104.0001776,7.09145219,3.188321176,10.27977337,69.26929126,56.951271,46.67149763,0.286960032,6.673489122,9.269447262,0.064129353,0.016319735,0.742793149,0.073420502,0.494737184,0.333338553,0.02180398,0.005875105,0.393680369,0.056036256,0.197894873,0.250003914,0.323211198,0.082251276,3.74366888,0.37003848,0.052101645,0.013851115,0.598987021,0.016422964,1.811594953,0.461017431,1.346452411,0.164855141,0.043796656,0.057897454,0.73345075,5.877559677,72.85005445,12.39460906,129.5526113,18.92844926,1.32111132,7.977575105,92.52944973,68.13627444,26.65492504,11.5827326,3.929558475,1.484188311
Thalassiosira weissflogii,160502_Tw_B,17595,0.496436886,137.2313809,26.1203549,4.911814881,8.869182257,2.128193475,100.3724411,6.752134551,3.192596315,9.944730866,77.3487356,53.31078264,43.36605178,0.230770238,5.366749724,9.36260027,0.064629403,0.015508067,0.731410268,0.072466886,0.563637377,0.316006816,0.021973997,0.005582904,0.387647442,0.05535577,0.225454951,0.237005112,0.339550603,0.081476438,3.842690555,0.380727249,0.054735557,0.013720632,0.614830489,0.016684352,1.805683331,0.433280473,1.092620519,0.164317183,0.041161645,0.046982682,0.74753849,6.126915174,72.05051354,11.75967212,128.0396472,18.28349172,1.240044204,8.162535726,93.30201757,69.99710297,25.24615104,11.31698934,4.167469903,1.783624112
Thalassiosira weissflogii,160502_Tw_C,17850,0.557118908,140.0636694,25.98130354,4.812242474,8.344703913,2.273609564,104.2890297,7.475816811,3.303169348,10.77898616,74.5168116,56.94709446,46.1681083,0.258283225,6.00658663,9.125021196,0.059577933,0.016232686,0.744583018,0.076957759,0.532020987,0.329622296,0.020256497,0.005843767,0.394629,0.058713297,0.212808395,0.247216722,0.32118111,0.087509449,4.014002975,0.414874725,0.051774395,0.014736591,0.642240476,0.018509328,1.734057242,0.472463633,1.24818869,0.157799209,0.044884045,0.053672114,0.743644632,6.28683512,75.05914888,11.93909932,131.5852902,18.89518333,1.23364419,8.117008455,93.94676776,72.72607898,25.63553679,12.49763093,3.670244903,1.614032161
Thalassiosira weissflogii,160505_Tw_A,24531,0.490588267,118.8625222,11.55352842,4.024266826,4.378403932,1.728356179,66.92687334,5.204852688,2.334564183,7.53941687,190.0072262,43.22638594,35.68696907,0.198122678,4.607504134,8.321595841,0.036835866,0.0145408,0.563061191,0.063429723,1.598546142,0.300237353,0.012524194,0.005234688,0.298422431,0.048419459,0.639418457,0.225178015,0.378966821,0.149595527,5.79276485,0.652564013,0.061089451,0.025191887,0.926842376,0.02891731,1.088000404,0.429483494,1.144930079,0.099008037,0.040800932,0.049231993,0.810959038,11.99769485,76.16997454,6.34871744,146.1054848,12.03925059,0.760751273,14.14512635,122.9197245,104.2041024,18.90409621,15.28567815,2.533276408,5.324274692
Thalassiosira weissflogii,160505_Tw_B,23103,0.479318401,133.2265058,13.90183774,4.035531993,4.67710959,1.869198158,68.61515487,5.341057853,2.439235712,7.780293565,204.580394,50.28938877,42.50909521,0.191147168,4.44528298,8.264678472,0.035106449,0.014030227,0.515026304,0.058398991,1.535583274,0.319073858,0.011936193,0.005050882,0.272963941,0.044591017,0.61423331,0.239305394,0.336438223,0.134456911,4.935689523,0.559659357,0.054233842,0.022642544,0.789710324,0.024698899,1.158982161,0.463185067,1.101535804,0.105467377,0.044002581,0.04736604,0.803164002,11.17598808,85.1364389,7.617799722,158.283845,12.3905079,0.794337966,14.8897446,118.8080736,89.12856078,19.68359976,14.67041846,2.502201048,4.812626404
Thalassiosira weissflogii,160505_Tw_C,23919,0.587999907,125.3328998,13.53203211,4.090937437,4.502179205,1.836269323,77.68633214,5.358797732,2.398025255,7.756822987,181.6496376,43.12057219,35.3637492,0.222273389,5.16914858,8.375155202,0.035921767,0.014651136,0.6198399,0.061889759,1.449337228,0.282158549,0.012213401,0.005274409,0.328515147,0.047237243,0.579734891,0.211618912,0.33270533,0.135697973,5.740921359,0.573219375,0.053632099,0.022851539,0.918547417,0.025441877,1.100525069,0.448862724,1.263560897,0.100147781,0.042641959,0.054333119,0.802877141,10.80113952,79.00742139,7.314730194,148.4686015,13.80907248,0.806417282,12.53169667,118.4594003,102.0472932,19.71228587,17.25527319,2.451807667,5.136605754
Thalassiosira weissflogii,160509_Tw_A,38473.125,0.001954571,262.7394475,8.30937281,3.686473532,2.39284993,1.701687926,48.29117864,2.794916393,1.559151725,4.354068118,542.3327842,66.00064871,61.64658059,0.151093965,3.513813151,8.047366503,0.009107311,0.006476713,0.183798737,0.01657181,2.064146778,0.234630091,0.003096486,0.002331617,0.097413331,0.012715936,0.825658711,0.175972569,0.287969981,0.20479138,5.811651462,0.523994797,0.046420761,0.034486868,0.929864234,0.021592872,0.649089139,0.461603186,0.953163808,0.059067112,0.043852303,0.040986044,0.856094542,36.87436459,183.7975846,4.984427167,293.5295283,8.57830346,0.530503662,39.88321475,111.7188649,103.2364735,14.3905458,20.18144892,1.406162607,8.797451198
Thalassiosira weissflogii,160509_Tw_B,36465,0.022884294,274.6766786,8.234688487,4.109381805,1.743356061,1.683936353,46.27479644,2.843411266,1.575959421,4.419370686,504.7255377,61.68644276,57.26707207,0.176751577,4.110501784,9.215319296,0.006346939,0.006130613,0.16847006,0.016089355,1.837525997,0.208489022,0.002157959,0.002207021,0.089289132,0.012343989,0.735010399,0.156366766,0.211708805,0.204493024,5.619495688,0.536677337,0.034127459,0.034436625,0.89911931,0.022162582,0.424238035,0.40977851,1.000272542,0.038605661,0.038928958,0.043011719,0.879453661,38.8993299,172.3736712,4.431276107,273.9557252,8.151073267,0.495370932,39.17467027,99.73752653,98.98459766,12.05463389,26.54351425,1.035286196,8.813538382
Thalassiosira weissflogii,160509_Tw_C,37006.875,0.044194165,274.874967,8.677428789,3.473059967,1.749036595,1.68348603,43.83793009,2.86619254,1.544965831,4.411158371,515.4353017,65.67848692,61.26732855,0.169788563,3.948571232,7.609316398,0.006363026,0.006124552,0.159483166,0.016047872,1.87516276,0.222891627,0.002163429,0.002204839,0.084526078,0.012304715,0.750065104,0.16716872,0.201561619,0.194007473,5.051949277,0.508348553,0.032491733,0.032670858,0.808311884,0.021183229,0.503601035,0.484727026,1.136914211,0.045827694,0.046049067,0.048887311,0.859235927,36.94125447,204.102604,5.525058825,279.9417056,7.76332852,0.488882066,42.0300015,101.8432885,89.46577044,14.07640728,25.06404395,1.038937398,8.412890098
Thalassiosira weissflogii,160513_Tw_A,37995,-0.056272488,387.7194511,8.613725914,4.010074062,1.355954578,1.81239283,41.81299294,2.298486537,1.52999189,3.828478427,704.3758775,100.2070575,96.37857907,0.180185465,4.190359643,9.012115076,0.003497257,0.004674496,0.107843423,0.009874352,1.816715348,0.248578138,0.001189067,0.001682818,0.057157014,0.007610729,0.726686139,0.186433603,0.157417892,0.210407534,4.854228398,0.444462532,0.025375764,0.035432629,0.776676544,0.017123727,0.338137041,0.451959939,1.044958168,0.030770471,0.042936194,0.044933201,0.881360134,52.49211217,249.3393558,4.750034729,380.2594853,7.361364795,0.47575465,60.2090094,98.0759372,85.46086639,11.86398662,30.83657344,0.748157108,7.308427705
